"","Location ID (optional)","Latitude (decimal degrees)","Longitude (decimal degrees)","Datum","Coordinate determination method","Name of water body","Date","Observer name (the first and last name of the person handling fish)","Fish collection method","Species","Life stage","Length (mm) (NO estimates or ranges)","Length method","Weight (g)","Sex","Age","Age method (sample type)","ADF&G GCL","Additional count (1)","Disposition (1)","Additional count (2)","Disposition (2)","Anesthesia/ Sedative Used (Leave blank if none used)","Comments"
"70","Lower Soldotna Creek","","","","","",2021-06-28,"","","lamprey-unspecified","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"71","Lower Soldotna Creek","","","","","",2021-06-28,"","","rainbow trout","juvenile",NA,NA,NA,"","","","","3","ID'ed and Released","","","",NA
"72","Lower Soldotna Creek","","","","","",2021-06-28,"","","stickleback-unspecified","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"73","Lower Soldotna Creek","","","","","",2021-07-07,"","","Chinook salmon","juvenile",NA,NA,NA,"","","","","1","ID'ed and Released","","","",NA
"74","Lower Soldotna Creek","","","","","",2021-07-07,"","","coho salmon","juvenile",NA,NA,NA,"","","","","14","ID'ed and Released","","","",NA
"75","Lower Soldotna Creek","","","","","",2021-07-07,"","","lamprey-unspecified","not recorded",NA,NA,NA,"","","","","1","ID'ed and Released","","","",NA
"76","Lower Soldotna Creek","","","","","",2021-07-07,"","","rainbow trout","not recorded",NA,NA,NA,"","","","","3","ID'ed and Released","","","",NA
"77","Lower Soldotna Creek","","","","","",2021-07-07,"","","slimy sculpin","juvenile",NA,NA,NA,"","","","","13","ID'ed and Released","","","",NA
"78","Lower Soldotna Creek","","","","","",2021-07-10,"","","coho salmon","juvenile",NA,NA,NA,"","","","","16","ID'ed and Released","","","",NA
"79","Lower Soldotna Creek","","","","","",2021-07-10,"","","Dolly Varden","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"80","Lower Soldotna Creek","","","","","",2021-07-10,"","","rainbow trout","parr",NA,NA,NA,"","","","","2","ID'ed and Released","","","",NA
"81","Lower Soldotna Creek","","","","","",2021-07-10,"","","slimy sculpin","not recorded",NA,NA,NA,"","","","","8","ID'ed and Released","","","",NA
"82","Lower Soldotna Creek","","","","","",2021-07-13,"","","rainbow trout","juvenile",20,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"83","Lower Soldotna Creek","","","","","",2021-07-13,"","","slimy sculpin","not recorded",20,"Total",NA,"","","","","0","Measured and Released","","","",NA
"84","Lower Soldotna Creek","","","","","",2021-07-13,"","","coho salmon","juvenile",50,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"85","Lower Soldotna Creek","","","","","",2021-07-13,"","","coho salmon","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"86","Lower Soldotna Creek","","","","","",2021-07-22,"","","coho salmon","juvenile",NA,NA,NA,"","","","","8","ID'ed and Released","","","",NA
"87","Lower Soldotna Creek","","","","","",2021-07-22,"","","rainbow trout","parr",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"88","Lower Soldotna Creek","","","","","",2021-07-22,"","","slimy sculpin","not recorded",NA,NA,NA,"","","","","2","ID'ed and Released","","","",NA
"89","Lower Soldotna Creek","","","","","",2021-07-22,"","","sockeye salmon","parr",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"90","Bernice Culvert","","","","","",2021-07-30,"","","stickleback-unspecified","not recorded",NA,NA,NA,"","","","","50","ID'ed and Released","","","",NA
"91","Salamatof Creek","","","","","",2021-07-30,"","","stickleback-unspecified","not recorded",NA,NA,NA,"","","","","444","ID'ed and Released","","","",NA
"92","Suneva Lake","","","","","",2021-07-30,"","","threespine stickleback","not recorded",NA,NA,NA,"","","","","7","ID'ed and Released","","","",NA
"93","Suneva Lake","","","","","",2021-07-30,"","","threespine stickleback","not recorded",NA,NA,NA,"","","","","42","ID'ed and Released","","","","caught most of fish near culvert"
"94","Soldotna Creek Parcel","","","","","",2021-08-09,"","","coho salmon","juvenile",60,"Fork",NA,"","","","","0","Measured and Released","","","","fast capture, three photos, no bait used"
"95","Soldotna Creek Parcel","","","","","",2021-08-09,"","","coho salmon","juvenile",62,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"96","Soldotna Creek Parcel","","","","","",2021-08-09,"","","coho salmon","juvenile",92,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"97","Soldotna Creek Parcel","","","","","",2021-08-09,"","","Dolly Varden","juvenile",92,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"98","Soldotna Creek Parcel","","","","","",2021-08-09,"","","coho salmon","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"99","Unknown Nikiski Lake 1","","","","","",2021-08-09,"","","ninespine stickleback","not recorded",NA,NA,NA,"","","","","1","ID'ed and Released","","","",NA
"100","Unknown Nikiski Lake 2","","","","","",2021-08-09,"","","stickleback-unspecified","not recorded",NA,NA,NA,"","","","","6","ID'ed and Released","","","",NA
"101","Unknown Nikiski Lake 2","","","","","",2021-08-09,"","","threespine stickleback","not recorded",NA,NA,NA,"","","","","7","ID'ed and Released","","","",NA
"102","West Beck Lake 1","","","","","",2021-08-12,"","","slimy sculpin","not recorded",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"103","West Beck Lake 1","","","","","",2021-08-12,"","","stickleback-unspecified","not recorded",NA,NA,NA,"","","","","75","ID'ed and Released","","","",NA
"104","West Beck Lake 2","","","","","",2021-08-12,"","","threespine stickleback","not recorded",NA,NA,NA,"","","","","1","ID'ed and Released","","","",NA
"105","Lower Beaver Creek","","","","","",2021-08-23,"","","coho salmon","juvenile",60,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"106","Lower Beaver Creek","","","","","",2021-08-23,"","","coho salmon","juvenile",100,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"107","Lower Beaver Creek","","","","","",2021-08-23,"","","coho salmon","juvenile",NA,NA,NA,"","","","","13","ID'ed and Released","","","",NA
"108","Lower Beaver Creek","","","","","",2021-08-23,"","","rainbow trout","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"109","Lower Beaver Creek","","","","","",2021-08-23,"","","slimy sculpin","not recorded",NA,NA,NA,"","","","","1","ID'ed and Released","","","",NA
"110","Soldotna Creek Parcel","","","","","",2021-08-24,"","","Dolly Varden","juvenile",110,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"111","North Nikiski Lake 1.1","","","","","",2021-08-31,"","","coho salmon","juvenile",60,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"112","North Nikiski Lake 1.2","","","","","",2021-08-31,"","","coho salmon","juvenile",72,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"113","North Nikiski Lake 1.2","","","","","",2021-08-31,"","","coho salmon","juvenile",83,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"114","North Nikiski Lake 1.1","","","","","",2021-08-31,"","","rainbow trout","juvenile",84,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"115","Suneva Lake","","","","","",2021-08-31,"","","stickleback-unspecified","juvenile",95,"Total",NA,"","","","","9","Measured and Released","","","",NA
"116","North Nikiski Lake 1.1","","","","","",2021-08-31,"","","coho salmon","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"117","North Nikiski Lake 1.1","","","","","",2021-08-31,"","","slimy sculpin","not recorded",NA,NA,NA,"","","","","8","ID'ed and Released","","","",NA
"118","North Nikiski Lake 1.2","","","","","",2021-08-31,"","","slimy sculpin","not recorded",NA,NA,NA,"","","","","8","ID'ed and Released","","","",NA
"119","North Nikiski Lake 2","","","","","",2021-08-31,"","","slimy sculpin","not recorded",NA,NA,NA,"","","","","1","ID'ed and Released","","","",NA
"120","North Nikiski Lake 2","","","","","",2021-08-31,"","","stickleback-unspecified","not recorded",NA,NA,NA,"","","","","7","ID'ed and Released","","","",NA
"121","North Nikiski Lake 1.2","","","","","",2021-08-31,"","","threespine stickleback","not recorded",NA,NA,NA,"","","","","48","ID'ed and Released","","","",NA
"122","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",50,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"123","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",53,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"124","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",54,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"125","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",54,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"126","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",58,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"127","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",59,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"128","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",59,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"129","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",60,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"130","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",60,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"131","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",60,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"132","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",61,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"133","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",62,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"134","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",62,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"135","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",62,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"136","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",68,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"137","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",71,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"138","Soldotna Creek Parcel","","","","","",2021-09-02,"","","Dolly Varden","juvenile",91,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"139","Soldotna Creek Parcel","","","","","",2021-09-02,"","","Dolly Varden","juvenile",120,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"140","Soldotna Creek Parcel","","","","","",2021-09-02,"","","Dolly Varden","juvenile",125,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"141","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",NA,NA,NA,"","","","","30","ID'ed and Released","","","",NA
"142","Soldotna Creek Parcel","","","","","",2021-09-02,"","","coho salmon","juvenile",NA,NA,NA,"","","","","13","ID'ed and Released","","","",NA
"143","Upper Ohmer Lake","","","","","",2021-09-04,"","","Dolly Varden","adult",229,"Fork",NA,"","","","","0","Measured and Released","","","","fork length 9"""
"144","Upper Ohmer Lake","","","","","",2021-09-04,"","","Dolly Varden","adult",229,"Fork",NA,"","","","","0","Measured and Released","","","","fork length 9"""
"145","Upper Ohmer Lake","","","","","",2021-09-04,"","","rainbow trout","adult",254,"Fork",NA,"","","","","0","Measured and Released","","","","escaped before photo. fork length 10"""
"146","Upper Ohmer Lake","","","","","",2021-09-04,"","","rainbow trout","adult",254,"Fork",NA,"","","","","0","Measured and Released","","","","fork length 10"""
"147","Upper Ohmer Lake","","","","","",2021-09-04,"","","rainbow trout","adult",254,"Fork",NA,"","","","","0","Measured and Released","","","","escaped before photo. fork length 10"""
"148","Upper Ohmer Lake","","","","","",2021-09-04,"","","rainbow trout","adult",406,"Fork",NA,"","","","","0","Measured and Released","","","","fork length 16"""
"149","Bird Lake","","","","","",2021-09-16,"","","rainbow trout","adult",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"150","Bird Lake","","","","","",2021-09-16,"","","rainbow trout","adult",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"151","Bird Lake","","","","","",2021-09-16,"","","stickleback-unspecified","not recorded",NA,NA,NA,"","","","","2","ID'ed and Released","","","",NA
"152",NA,"","","","","",NA,"","",NA,NA,NA,NA,NA,"","","","",NA,"ID'ed and Released","","","",NA
